MonthYear,colony,Tubelabel_species,Health_Status,Extracted,Raw_ng_ul,Extraction_physical_location,Extraction_notes,Condition,Caroline_ITS2
072024,1_10,072024_PAN_BDT_T1_580_SSID,Healhty,6_11_2026,1.99,UML_PENGUIN_B3,,Healthy,x
072024,1_11,072024_PAN_BDT_T1_1026_MCAV,Healthy,4_17_2026,25.8,UML_PENGUIN_B2,,CLP,x
072024,1_14,072024_PAN_BDT_T1_564_ORBI,Healthy,4_10_2026,24,UML_PENGUIN_B2,,CLB,x
072024,1_14,072024_PAN_BDT_T1_566_ORBI,CLB,4_10_2026,21,UML_PENGUIN_B2,,CLB,x
072024,1_15,072024_PAN_BDT_T1_578_ORBI,Healthy,3_16_2026,25,UML_PENGUIN_B2,,Healthy,
072024,1_16,072024_PAN_BDT_T1_592_CNAT,CLP,6_27_2025,19.3,UML_PENGUIN_B1,,CLP,
072024,1_17,072024_PAN_BDT_T1_1020_MCAV,Healthy,4_17_2026,19.1,UML_PENGUIN_B2,,Healthy,x
072024,1_18,072024_PAN_BDT_T1_568_SSID,Healthy,6_11_2026,73.8,UML_PENGUIN_B3,,Healthy,x
072024,1_23,072024_PAN_BDT_T1_582_CNAT,Healthy,6_27_2025,33.6,UML_PENGUIN_B1,,CLP,x
072024,1_25,072024_PAN_BDT_T1_584_ORBI,Healthy,4_10_2026,7.88,UML_PENGUIN_B2,,CLP,x
072024,1_25,072024_PAN_BDT_T1_586_ORBI,CLP,4_10_2026,18.8,UML_PENGUIN_B2,,CLP,x
072024,1_26,072024_PAN_BDT_T1_588_CNAT,Healthy,6_27_2025,21,UML_PENGUIN_B1,,CLP,x
072024,1_26,072024_PAN_BDT_T1_590_CNAT,CLP,6_30_2025,58.8,UML_PENGUIN_B1,,CLP,x
072024,1_4,072024_PAN_BDT_T1_562_ORBI,Healthy,3_16_2026,96,UML_PENGUIN_B2,,Healthy,
072024,1_5,072024_PAN_BDT_T1_598_CNAT,CLP,6_27_2025,33.2,UML_PENGUIN_B1,,CLP,
072024,1_6,072024_PAN_BDT_T1_601_CNAT,Healthy,5_23_2025,0.794,UML_PENGUIN_B1,,CLP,
